#{"t_start": 1763565237.618124, "env_id": "None"}
r,l,t
-506397.629583,695,2.093824
18095.117532,1195,4.916705
-506193.305484,690,6.584614
-506483.033962,748,8.32778
-506513.594557,748,10.123479
-506469.793146,1065,14.551004
19028.993386,1175,17.381246
-505591.095421,469,18.527784
-506199.706821,719,20.233993
-505569.399973,462,21.364098
-506422.860056,711,23.067171
-506849.206989,933,25.349358
-506190.764659,791,28.904152
-505839.975269,546,30.226371
-505592.270665,487,31.41473
-506245.701814,759,33.269551
-506271.899782,834,35.39951
19266.618688,1190,38.368277
-506751.01398,820,42.076039
-505635.560647,490,43.343602
18704.691427,1172,46.211707
-505594.39625,482,47.406803
-506223.800522,707,49.140543
-505859.656278,551,50.518402
19014.009715,1168,53.378598
-506426.724215,708,56.689407
-506208.520524,696,58.479524
-506297.474372,806,60.481608
-506234.572694,762,62.383495
-506701.661994,814,64.399855
-506028.035205,612,65.935961
-506441.7309,721,67.74238
19293.294072,1182,72.886602
-507086.075765,1045,75.5592
-506225.005966,732,77.389877
-506641.999196,813,79.420649
-506708.611906,820,81.572143
-505802.916692,529,82.90702
-505641.794558,492,85.814168
-506483.266041,740,87.630016
-506309.590692,749,89.533659
18234.342563,1201,92.572227
-505761.256287,540,93.905915
-506192.803689,706,95.64027
19536.375655,1234,100.571322
18628.180665,1260,103.729412
-505607.130011,491,104.962904
-505694.994516,526,106.282215
-505867.875522,588,107.739471
-506289.238652,736,109.585175
-506455.758501,722,111.386997
-506293.421138,744,115.259685
-506487.724038,727,117.087038
-505782.524684,541,118.41749
18817.142822,1228,121.500581
-506346.832322,752,123.366412
-505741.608283,518,124.638475
-506255.64592,786,128.123687
-506458.914394,742,129.982403
-505973.896107,639,131.63625
-506429.758216,711,133.385797
-505966.163809,591,134.873004
-505616.294986,494,136.114351
-506699.888193,799,138.083773
-506505.603148,748,139.950947
