#{"t_start": 1763592594.410599, "env_id": "None"}
r,l,t
4968.184819,1223,5.712887
4962.602831,1270,11.355902
4956.873464,1292,17.132336
3428.104557,1003,21.615747
4033.000125,1158,26.821321
4957.234659,1298,32.748109
4966.182225,1230,38.314749
3064.593332,985,42.762808
939.173033,523,45.138178
1415.489581,686,51.486687
1965.934671,795,55.168039
4950.467542,1336,61.29456
4954.306831,1310,67.349487
1847.422282,737,70.761805
4956.220038,1315,76.890474
2283.579641,838,80.767133
1840.039025,727,84.118805
4070.386103,1130,89.320676
1021.680878,564,91.925098
2649.758445,917,99.381239
1728.207665,723,102.732641
3755.257044,1116,107.874103
3371.860825,1099,113.031174
4966.142918,1238,118.87298
4962.255991,1266,124.768103
4965.178427,1244,130.53507
4956.106779,1324,136.708828
2600.15282,894,140.857453
2582.88553,853,148.125279
4960.26914,1268,154.072904
2346.505945,922,158.38792
2576.798594,1077,163.444762
2002.590789,789,167.119239
4951.702275,1337,173.414096
3077.14392,1021,178.166546
4959.888626,1296,184.165035
3121.847214,1075,189.129166
2213.646242,773,192.725134
4972.336335,1223,201.916736
4966.210788,1255,207.839372
4961.813281,1270,213.89485
4968.338302,1247,219.753215
4960.916359,1287,225.698972
1224.677166,627,228.636577
4964.128915,1274,234.592821
1009.787177,552,237.139078
4963.097352,1257,242.946551
3700.738165,1233,251.9076
4963.286724,1266,257.84982
4959.558009,1282,263.801103
4512.516161,1273,269.743865
4958.686804,1298,275.75831
4018.122813,1264,281.601503
1035.524261,598,284.414478
4966.940194,1262,290.276558
4965.922057,1238,299.306426
3481.517222,1069,304.264771
4970.646551,1229,309.913654
3127.647264,1104,314.979006
4960.789195,1263,320.869209
2405.324262,894,325.037883
4966.162969,1246,330.830461
4204.584878,1244,336.555003
4954.412049,1332,342.719823
4965.453745,1244,351.793432
4961.633092,1258,357.630364
4955.985128,1294,363.568154
2373.660568,916,367.775439
4965.948211,1231,373.420115
4281.171341,1269,379.248726
4559.992599,1196,384.722502
2108.436308,830,388.539566
3522.715053,1105,396.921743
2242.059807,801,400.590763
4973.677018,1187,406.145681
2943.670949,1105,411.213137
2627.057736,951,415.573556
4957.85028,1304,421.578365
1461.262675,684,424.709825
4946.333763,1368,430.975255
2540.048536,927,435.216618
960.898818,522,437.60521
4973.123887,1217,446.436371
3471.601132,1118,451.576123
4966.580333,1232,457.218046
2331.31316,816,460.945394
3919.918002,1227,466.558164
4971.248411,1196,472.036654
3444.513323,1075,476.979548
2061.937436,842,480.842476
3199.622627,1135,486.010782
4972.650503,1221,497.088855
4959.524615,1310,503.207023
2470.18929,905,507.404001
4956.018457,1314,513.51406
2426.426498,826,517.334016
1239.544927,627,520.224247
4971.59308,1218,525.845744
4973.943838,1194,531.472231
2950.116571,970,536.16563
4964.710483,1263,542.097622
3543.087649,1014,550.478982
1948.963012,828,554.459467
3029.537331,1007,559.226167
4387.320354,1222,565.003271
3319.082008,1036,569.904991
2194.57214,899,574.095328
4967.730137,1232,579.853468
4958.557621,1299,585.930647
4971.548069,1228,591.801614
4971.825873,1208,600.84564
4967.598644,1237,606.649117
1151.013225,539,609.179122
1787.14613,751,612.717916
2990.217772,1049,617.578758
4967.735245,1227,623.278209
4969.434691,1216,628.956894
4964.376953,1265,634.922827
4968.158295,1231,640.615753
3416.207177,1136,649.107917
2233.393438,835,652.959228
4961.949474,1273,658.86594
4333.424366,1210,664.477848
4960.418332,1277,670.387426
4970.152701,1223,676.035796
4975.793002,1186,681.502739
1701.465248,741,684.914989
3978.047168,1172,690.32149
4957.230671,1296,699.541996
4974.508226,1189,705.008043
1455.034897,678,708.12349
4964.181996,1257,713.930724
3923.694473,1183,719.448748
3093.057502,925,723.736152
3838.886775,1194,729.225534
1117.8238,577,731.87794
4971.715316,1225,737.526926
4271.339331,1112,742.708103
4966.312967,1247,751.861629
4973.255235,1184,757.343519
4958.462631,1303,763.389985
4964.206615,1266,769.274105
4967.694178,1232,775.037596
4972.259911,1203,780.597196
4965.100208,1272,786.657372
4550.628989,1292,792.694775
1705.184498,697,799.147947
2136.806058,821,803.013426
4513.523981,1248,808.782828
2698.997914,874,812.829626
4963.499239,1255,818.647739
1943.713047,761,822.171427
4326.829178,1109,827.312974
1491.108756,662,830.359695
4968.097791,1235,836.082976
4962.449307,1274,841.976216
4967.658233,1218,850.796659
4967.83964,1251,856.631024
4977.378168,1179,862.142782
4969.571311,1236,867.948666
1218.012954,635,870.906128
4973.346645,1215,876.792259
2862.482391,884,880.959875
2204.486057,789,884.660244
4975.682305,1195,890.293592
3372.712855,1017,898.472765
4958.917042,1276,904.530508
4969.063203,1233,910.289799
2256.760266,822,914.137052
1802.079401,688,917.333874
1040.519912,567,919.976361
4973.46712,1210,925.624165
