#{"t_start": 1763592594.410599, "env_id": "None"}
r,l,t
2506.118214,861,929.655251
3069.846585,966,934.205049
4982.75253,1152,939.55516
2670.371479,861,946.84028
4974.4406,1205,952.46538
4854.748077,1242,958.305143
4608.190093,1193,963.849575
4967.894933,1238,969.585697
4977.34129,1191,975.080681
4974.403431,1174,980.521667
4984.745457,1119,985.724899
4974.971263,1192,991.270341
3778.126011,987,1001.117086
3978.622124,1121,1006.290018
1898.137814,708,1009.563515
4178.928459,1165,1014.946822
4970.164973,1231,1020.622811
4984.183391,1140,1025.878476
4968.366551,1230,1031.539399
4981.50971,1130,1036.711737
4973.533847,1215,1042.286189
2318.910399,849,1049.433635
4277.349712,1113,1054.588129
4337.390357,1123,1059.776149
4966.978674,1238,1065.48825
4964.970416,1250,1071.251707
4970.664585,1208,1076.847113
1852.532245,666,1079.936196
4047.652067,1093,1084.971757
4969.866292,1232,1090.663806
4972.128937,1208,1099.484117
3366.018975,962,1103.918111
4967.174538,1219,1109.506144
4968.321315,1223,1115.162039
4972.087106,1213,1120.749631
4974.721688,1206,1126.295786
4977.988551,1151,1131.611978
4982.672078,1120,1136.775075
4975.580368,1192,1142.261808
4498.530574,1212,1151.055303
4977.270887,1177,1156.456371
4191.08114,1104,1161.539536
4982.839181,1142,1166.785734
4973.100825,1214,1172.365054
4976.293443,1160,1177.724343
4976.691505,1184,1183.187142
4974.096034,1187,1188.675239
4975.933918,1161,1197.067261
4966.064646,1233,1202.743257
4970.443082,1203,1208.283936
4980.849129,1157,1213.583726
4976.34807,1162,1218.989209
4032.678505,1027,1223.745789
3309.012936,960,1228.161855
4969.074832,1216,1233.731199
4431.938361,1222,1239.410079
1884.139223,724,1246.091877
4961.894207,1276,1252.030128
4966.118751,1237,1257.781911
4987.210547,1128,1263.026445
4985.735447,1132,1268.365851
4359.648986,1219,1273.977849
4959.458323,1286,1279.932078
4961.325,1261,1285.739186
4974.823699,1182,1291.189802
4976.313701,1160,1299.783262
4985.425961,1127,1305.019363
4981.499399,1136,1310.235694
4978.759357,1169,1315.643295
4966.194525,1251,1321.403448
4983.400785,1125,1326.589162
4976.915589,1161,1331.961297
4983.861735,1115,1337.105538
4975.870944,1167,1345.759005
4983.519582,1152,1351.102197
1754.686587,638,1354.054001
4986.487789,1114,1359.189463
4986.001916,1117,1364.405693
4979.828042,1146,1369.701836
4993.971698,1082,1374.76204
4973.740226,1217,1380.401061
4981.493373,1132,1385.665946
1122.137516,544,1388.171476
4977.123432,1182,1396.978976
4988.229398,1103,1402.146548
1795.087288,623,1405.043693
4980.381567,1135,1410.315655
4979.252915,1174,1415.725533
2672.136273,813,1419.480079
4982.284332,1123,1424.659033
4990.993565,1089,1429.68862
2136.475968,679,1432.820683
4989.943006,1091,1437.863953
4980.237601,1144,1446.415589
4988.784592,1096,1451.460264
4984.197317,1131,1456.71001
4994.806168,1062,1461.652041
1622.546373,595,1464.464512
4663.682809,1150,1469.765894
4987.365643,1106,1474.863348
4981.886384,1125,1480.050309
4993.624708,1087,1485.060664
4986.494165,1124,1495.572664
4993.39988,1088,1500.620139
4985.458026,1114,1505.799759
4982.503343,1143,1511.074599
4977.584513,1168,1516.465307
4995.838674,1051,1521.310024
4981.01159,1130,1526.550528
4985.367839,1110,1531.660146
4989.249516,1087,1536.791766
4980.914854,1137,1545.579324
4969.884881,1224,1551.281593
3432.146934,943,1568.270507
4982.388802,1122,1573.397226
4986.667572,1100,1578.463122
4990.297587,1088,1583.480472
4983.309544,1118,1588.622461
4982.277662,1133,1593.934022
4094.111222,1015,1598.808757
4985.354698,1111,1604.047327
4977.10626,1156,1612.717807
4999.117475,1022,1617.482001
4997.607626,1052,1622.385654
4983.245555,1112,1627.565935
4995.227806,1072,1632.579708
4981.831531,1148,1637.908804
4994.808156,1045,1642.764687
4985.000626,1129,1647.968137
4998.319896,1057,1652.871576
4990.079631,1075,1661.121225
4983.869819,1127,1666.341953
4988.623663,1112,1671.460482
4995.872948,1041,1676.248402
4996.150195,1066,1681.138185
4991.651601,1069,1686.082984
3983.948661,976,1690.600074
4994.678231,1040,1695.412956
4995.289506,1045,1700.288937
2029.786449,681,1706.741915
4998.526721,1036,1711.538466
4983.193468,1113,1716.675478
4499.200767,1078,1721.634635
4988.52258,1085,1726.687298
5004.303193,1020,1731.412948
2209.154912,696,1734.641681
4989.470471,1075,1739.662802
4984.148152,1106,1744.801063
2955.79131,855,1748.729806
4988.562674,1080,1757.104485
4990.069374,1072,1762.047092
5000.254729,1018,1766.762383
4989.916905,1112,1771.958709
4975.073843,1185,1777.471691
5000.344007,1047,1782.387094
4992.515022,1091,1787.498418
4990.637333,1088,1792.558354
4991.387859,1086,1797.609907
4980.314992,1153,1806.223792
4999.695182,1030,1810.998001
4994.950671,1035,1815.78918
4998.793347,1022,1820.527207
4996.578233,1063,1825.468739
4988.817403,1089,1830.479738
5002.077697,1015,1835.135205
5003.138479,1009,1839.783251
2800.379035,961,1844.181781
4997.02399,1054,1849.012101
4989.436548,1083,1857.24403
4995.643926,1047,1862.051535
5002.406209,1029,1866.79079
5000.195231,1035,1871.53139
4986.627565,1090,1876.516051
4996.960799,1051,1881.294158
3937.632143,922,1885.514631
4991.510633,1078,1890.459444
4996.494178,1053,1895.283042
4998.158337,1044,1900.059618
