#{"t_start": 1763592594.411125, "env_id": "None"}
r,l,t
4963.507467,1244,5.805333
4958.016375,1287,11.526273
4959.313392,1282,17.258522
4958.467143,1304,23.084053
4963.992133,1271,28.835183
4955.694124,1326,34.881264
4958.312955,1297,40.73681
1176.661535,585,43.383957
3498.353911,1074,51.496606
1003.455131,559,54.087453
4967.706552,1221,59.693654
4970.873016,1215,65.303464
4964.819701,1274,71.18984
4971.126342,1230,76.927859
4957.296713,1299,82.921771
4968.881705,1247,88.666827
4579.430245,1253,94.473575
3992.457858,1256,103.480812
2999.948751,983,108.017713
4959.363155,1289,114.074345
3945.825029,1217,119.802955
2974.320479,967,124.311456
4962.526876,1284,130.262089
2072.788596,772,133.850052
1231.217712,665,136.961442
3839.665845,1131,142.243008
4958.964523,1289,151.573004
4966.377949,1257,157.427449
1687.680562,748,160.949338
2935.178525,999,165.599289
4970.18413,1213,171.311422
2613.38728,959,175.814554
2850.46422,1097,180.867901
3113.544471,1136,186.125269
2744.705675,964,190.595821
1674.457034,708,193.89208
4960.812158,1268,203.297278
2188.602156,818,207.172812
4957.733995,1290,213.325581
2577.432252,911,217.602562
3548.700704,1020,222.360385
4957.978842,1320,228.487223
4964.870335,1242,234.294518
4953.643283,1327,240.431959
4959.81154,1284,249.587234
4964.360836,1258,255.516818
3795.570876,1168,260.947798
3874.926705,1159,266.351644
4967.846008,1218,271.993099
4959.690699,1269,277.869533
4968.186904,1213,283.528782
4957.935606,1283,289.484406
1513.556565,660,292.570423
1178.3014,561,298.443378
4580.433628,1292,304.430875
2111.857669,831,308.252133
4964.348655,1262,314.0423
4962.579291,1267,319.936735
4971.180681,1203,325.545234
4955.929982,1330,331.719548
4957.21183,1295,337.683449
4968.485306,1225,343.353435
4958.254729,1301,352.676428
4955.813585,1300,358.720113
4958.996369,1304,364.693332
4963.776295,1258,370.463686
2993.606608,995,375.045214
1894.849173,753,378.4992
4963.065476,1265,384.285666
4960.139781,1282,390.194212
2797.771151,1100,398.53871
2656.453041,874,402.551919
1379.737704,661,405.675238
4271.249704,1250,411.414614
2871.980164,1151,416.704175
4503.547053,1278,422.577441
4963.229736,1255,428.31576
1467.747764,615,431.141346
4958.792676,1311,437.135698
2635.165288,903,441.274927
3866.697808,1232,450.191749
2416.8082,796,453.825658
1080.859126,563,456.413637
4949.353721,1377,462.703629
4961.112138,1284,468.602349
2416.158946,847,472.475937
1252.696571,650,475.468765
4970.758488,1212,481.021768
4958.959093,1282,486.857514
3557.943154,1014,491.47255
4973.433612,1201,502.569501
4966.260017,1264,508.468
4186.701173,1255,514.313262
3697.752526,1075,519.262853
1268.201988,577,521.94284
4969.579953,1217,527.534098
4976.599856,1190,533.246329
4534.201403,1313,539.461708
1658.239447,649,542.556703
4968.159884,1232,551.983123
4970.369204,1215,557.718163
4954.601471,1333,564.069498
4291.520412,1275,570.101084
2582.490816,811,573.87562
3297.712538,1052,578.78664
4282.770419,1258,584.667735
4972.992903,1197,590.343947
3016.490072,975,598.342519
4969.328047,1211,604.044731
1452.979212,629,606.987069
2201.251052,836,610.935906
1732.960575,699,614.189874
2737.80143,855,618.143559
4225.638126,1349,624.416861
4964.144072,1266,630.347849
4955.978381,1295,636.415749
4971.302049,1227,642.105898
4969.51737,1237,651.049291
4976.466884,1164,656.444296
4964.597037,1242,662.191767
2001.990464,727,665.574298
4965.20511,1249,671.34309
1155.87344,585,674.054781
4981.159787,1157,679.392725
2926.583362,953,683.775589
2103.650297,801,687.466459
3983.695494,1148,692.789405
4968.435887,1227,701.659555
4974.179385,1214,707.23722
4973.802584,1210,712.806741
1512.162244,612,715.669334
4956.815049,1316,721.803755
2386.329076,827,725.612601
1395.148175,650,728.600446
2830.374224,1093,733.630089
4952.797134,1322,739.724549
4965.269334,1247,748.878481
3610.665903,1087,753.941637
3867.987396,1197,759.498073
2811.550542,1079,764.504956
2894.139351,946,768.909046
4965.840874,1245,774.732671
4974.188507,1198,780.270277
4963.505499,1276,786.333734
2161.799636,798,790.101344
4980.171635,1172,798.749419
2982.393801,907,803.014223
4953.568781,1313,809.083584
1128.53634,637,812.027895
1260.652074,638,814.998185
4971.025103,1207,820.57858
4966.375088,1254,826.394768
4050.545816,1257,832.192833
4972.585745,1216,837.83089
4962.599378,1262,846.854953
4953.899205,1322,852.986251
4965.478276,1250,858.814148
4972.634816,1193,864.427098
4968.407361,1237,870.179885
2478.550828,842,874.238015
1124.772058,558,876.964152
4964.452297,1254,882.85302
4963.99835,1246,888.709606
4957.93913,1290,898.177302
4975.69965,1187,903.815412
4977.445205,1179,909.338184
4419.36213,1237,915.115765
4977.277891,1182,920.625684
1349.351689,602,923.432711
4968.951356,1221,929.130716
4048.320513,1168,934.640003
3586.894716,1043,939.476582
930.445463,522,941.888267
4969.970267,1220,950.876428
1345.513033,607,953.713576
2370.626285,845,957.688185
4614.107913,1260,963.551363
4985.23724,1125,968.760357
4972.426942,1201,974.311256
4985.228784,1120,979.499161
4971.233751,1197,985.061502
4977.137915,1163,990.477351
4986.077107,1133,1000.99644
4983.984667,1148,1006.295469
4977.679205,1178,1011.735463
2835.137103,886,1015.833044
4980.640816,1157,1021.167834
4975.371634,1184,1026.623782
4973.049998,1211,1032.202476
4975.107963,1180,1037.601338
4022.39834,1160,1042.921712
1405.048322,600,1048.920848
4968.858951,1229,1054.611621
4415.0522,1083,1059.613733
4978.431977,1152,1064.926424
1388.395499,601,1067.701484
4978.020267,1183,1073.152946
4979.359138,1144,1078.463034
4979.924604,1175,1083.890181
3952.43307,1063,1088.802684
4975.534941,1196,1097.57176
4977.748219,1175,1102.98482
4679.249201,1267,1108.793557
3348.793728,994,1113.382744
1247.306784,525,1115.81516
4965.652988,1263,1121.6266
4973.424772,1209,1127.192284
4974.708166,1176,1132.616698
4357.064035,1213,1138.202256
3478.616236,954,1142.611686
4978.341794,1172,1151.21273
4958.498056,1294,1157.148437
4961.447918,1267,1162.982066
4966.367003,1228,1168.61867
4982.113091,1151,1173.920007
1082.501199,511,1176.283446
4977.293814,1166,1181.64926
4974.962413,1168,1187.059856
4975.897973,1187,1192.58172
4975.048741,1198,1201.095702
3004.928039,1012,1205.767215
4980.164853,1147,1211.032014
4971.229413,1212,1216.567575
4977.651559,1193,1222.159288
4967.238095,1228,1227.817289
4974.971947,1191,1233.268835
4971.902657,1198,1238.838137
4974.363721,1185,1247.651331
4976.967762,1164,1253.074054
1518.169712,626,1256.007793
4968.400667,1214,1261.621814
4986.879366,1113,1266.88862
4961.265346,1260,1272.690512
4986.24648,1132,1277.93039
2418.959805,744,1281.383292
4378.508927,1117,1286.515644
4978.340166,1178,1295.185308
1259.580408,603,1297.972845
4979.879567,1149,1303.293014
1855.417205,661,1306.358154
4978.00015,1169,1311.723594
4983.214228,1119,1316.903462
4977.576338,1172,1322.293258
4989.416363,1107,1327.404856
4975.9646,1175,1332.841721
4981.798749,1146,1338.137342
4967.39786,1255,1347.17796
4972.09739,1188,1352.694108
1072.784433,475,1354.895131
4983.58017,1118,1360.066642
4976.073542,1196,1365.626228
4977.702907,1151,1370.976501
4986.008254,1137,1376.257431
1490.992842,545,1378.778226
1848.103197,692,1382.014101
4979.364742,1160,1387.381143
4977.751221,1182,1396.193177
4971.200445,1234,1401.960346
4987.739255,1124,1407.183724
4985.213861,1141,1412.478426
4976.81045,1156,1417.796046
4982.883919,1134,1423.0311
4985.902551,1135,1428.265573
4982.735154,1131,1433.484555
2378.889019,745,1436.936412
3279.410232,955,1444.615913
4577.625721,1070,1449.542499
4559.822785,1197,1455.095339
4989.199819,1094,1460.174312
4987.465044,1112,1465.388624
4979.032654,1153,1470.7096
4980.757253,1144,1475.969984
4367.664611,1047,1480.798121
4984.909613,1108,1485.899351
4995.91294,1049,1496.07107
4985.099404,1138,1501.354781
4980.462835,1150,1506.700174
4982.328998,1118,1511.860493
4993.361497,1060,1516.74527
4982.73141,1156,1522.078007
4981.257665,1143,1527.371976
4974.014073,1180,1532.812285
4990.472834,1088,1537.948836
4983.637366,1123,1546.678569
2398.027715,777,1550.302619
4973.620045,1181,1568.39574
4982.838079,1145,1573.62723
3901.627481,979,1578.133134
4971.214945,1193,1583.638248
4989.002086,1108,1588.734866
4982.366053,1122,1593.997167
4979.527764,1141,1599.467336
4988.703002,1076,1607.78389
4992.489517,1071,1612.805638
4995.384925,1068,1617.783449
4991.217737,1086,1622.845364
4977.867151,1148,1628.201435
4981.101089,1151,1633.573728
4990.69736,1081,1638.588406
4995.484273,1066,1643.536302
4982.701356,1128,1648.73685
4991.754345,1092,1653.829918
4995.821519,1061,1661.985019
4984.126347,1123,1667.191289
4986.713221,1101,1672.259614
4992.680438,1084,1677.244432
4998.571958,1028,1681.95222
4998.446731,1052,1686.830593
4984.798697,1130,1692.062166
4988.089945,1118,1697.235296
4999.562338,1030,1702.047545
3635.24421,910,1709.554514
4991.004767,1071,1714.504572
4987.039005,1110,1719.614557
5001.15192,1035,1724.412866
4994.658659,1037,1729.222321
4998.737141,1033,1734.016749
4970.601114,1198,1739.605988
4986.415136,1091,1744.676476
4989.876448,1073,1749.619846
4996.633506,1059,1757.889023
4990.183343,1098,1762.943923
4987.092762,1093,1768.035406
4999.943068,1024,1772.831421
5002.279833,1013,1777.523258
4993.596101,1072,1782.560714
4994.439087,1065,1787.545936
4993.153464,1090,1792.614884
1620.25537,592,1795.370227
4310.732954,981,1799.919672
4985.908723,1105,1808.326667
4997.29552,1058,1813.21496
4993.868622,1079,1818.221616
5007.170509,1003,1822.884762
4991.524469,1057,1827.763718
4999.90439,1028,1832.48248
4991.370242,1085,1837.478843
4991.889742,1090,1842.478996
4992.807449,1079,1847.417468
4998.096287,1025,1852.117318
4988.001958,1102,1860.444541
4993.002571,1051,1865.291637
4987.321364,1090,1870.280621
5005.856002,978,1874.749904
4992.818261,1052,1879.54537
4998.165594,1028,1884.242085
1231.082345,504,1886.543941
5001.15892,1025,1891.250076
4992.479558,1066,1896.125871
4996.397737,1064,1901.00205
