#{"t_start": 1763565237.616826, "env_id": "None"}
r,l,t
-506450.713683,730,2.165992
-506599.043066,790,4.036403
-505702.25558,518,5.263393
-506303.638751,747,7.050462
-505876.353997,554,8.389548
-505610.376868,479,9.503381
-506206.437193,942,11.782277
-506134.383862,649,15.194508
-505648.910991,488,16.380062
-505669.751022,505,17.602077
-506821.487012,881,19.694087
-506357.707315,858,21.773478
-505659.476112,498,22.98719
-505910.103113,565,24.33528
-506211.242978,695,26.045774
-505701.747661,501,28.901467
-505687.763781,511,30.150883
-505618.151005,477,31.278254
-506250.218602,879,33.426783
-507096.068681,1098,36.246771
19208.686275,1228,39.300869
-505652.485395,493,42.186159
-506232.324955,693,43.965886
17663.487397,1212,46.920456
19605.914396,1134,49.728339
19495.765013,1239,52.777507
-506244.475871,677,56.021063
-505582.12636,474,57.199101
-506679.07688,805,59.232398
18656.863962,1216,62.291466
-506233.048485,735,64.094149
-506336.680408,758,65.987731
17637.346931,1256,71.328515
-505630.671472,493,72.56562
-506200.76613,685,74.3205
-505820.543622,548,75.723848
-506420.494311,856,77.830246
-506197.588077,707,79.625636
18462.334236,1253,82.858583
-506277.891873,756,86.385957
-505825.968781,574,87.840408
-505874.767666,565,89.260413
-506235.324548,725,91.102834
-506192.317727,702,92.834654
-506268.868387,820,94.898393
-506430.298362,978,97.353315
19283.741559,1246,102.268516
17845.525209,1254,105.413775
-506296.029928,745,107.30271
-506492.948068,738,109.159338
-506254.098457,728,110.935274
-505660.463336,492,114.219919
17643.848646,1221,117.274285
18764.166981,1294,120.488168
18874.082132,1210,123.477374
-506478.58635,720,125.264558
-506305.62273,782,128.746036
-506209.496612,734,130.602866
-506277.896468,930,132.958881
-506263.0254,769,134.870996
-506481.960947,742,136.729107
-506348.542455,765,138.625907
