#{"t_start": 1763565237.6177611, "env_id": "None"}
r,l,t
-506748.870286,884,2.521046
-506084.133076,658,4.117866
-505665.536302,494,5.258643
-506556.988789,754,7.060618
19841.691654,1165,9.826633
-506210.276079,763,11.656346
-506180.456294,675,15.16019
-506050.136761,644,16.715895
-506437.01419,704,18.394298
-506546.061906,817,20.385419
-506226.569037,752,22.170772
18460.833963,1168,25.032034
-505651.469519,487,26.183593
-505844.479036,584,29.258057
-506239.748967,968,31.590365
-506199.432104,710,33.341349
-505636.160675,487,34.562869
19604.054328,1203,37.597155
-506505.569805,729,39.413554
19777.682921,1181,44.067965
-506467.10197,714,45.829589
-506305.838813,1132,48.637713
-506435.575098,1156,51.476246
-506395.376357,698,53.167595
-506293.221457,736,56.577025
18647.585051,1214,59.614759
-507074.537841,1033,62.194598
-505779.333594,553,63.584704
-505621.243337,480,64.777243
-506599.049527,1142,67.612577
-506538.759835,735,71.66703
-506292.56662,774,73.581551
-505632.220021,500,74.912259
17962.623026,1269,78.081568
-506514.109453,762,80.00161
-506573.112464,750,81.957671
-506316.442027,747,85.521531
-505709.947476,530,86.835732
-506630.283922,772,88.767426
-505650.796802,506,90.055045
-506324.55629,806,92.073928
-505622.238769,496,93.311145
-506465.755905,735,95.148406
-505700.412507,533,96.472065
-506315.686768,809,100.314333
19473.247033,1192,103.27728
-506311.771529,703,105.060825
-506337.057685,767,106.998786
-506484.90615,1090,109.695262
-506384.090144,777,111.66646
-506713.297674,841,115.78025
-505630.496183,500,117.034313
19011.570973,1236,120.120928
18745.797037,1253,123.208906
-506739.940199,816,125.240307
-505601.038566,494,128.012444
-506212.60959,1216,131.086909
-505636.460633,507,132.354535
-505612.68199,503,133.608426
18770.484311,1265,136.765438
-506325.018491,728,138.581346
-505656.574535,519,139.863633
