#{"t_start": 1763592594.411548, "env_id": "None"}
r,l,t
4955.067842,1316,6.12325
2914.454777,972,10.450958
986.846449,546,12.87384
4954.828817,1318,18.768856
4951.644995,1328,24.714338
4956.254681,1300,30.624901
4966.397842,1251,36.314941
4967.252471,1255,41.981847
4962.42702,1251,50.889378
2896.259401,995,55.483017
1509.430205,664,58.513841
4958.891805,1304,64.534936
4969.895441,1243,70.281601
1484.168207,630,73.217484
4957.922176,1292,79.225184
4960.207084,1271,85.088138
1357.647877,610,87.886069
4957.786691,1297,93.881408
4970.060279,1235,102.814403
4428.459377,1319,108.904839
4950.101064,1364,115.315248
1983.109698,796,119.078304
4223.836404,1319,125.216351
4955.042754,1306,131.274306
954.941938,544,133.80279
4961.340611,1298,139.839523
4963.279935,1273,149.07056
4963.825608,1256,154.96584
4108.93559,1289,161.024533
4967.608975,1241,166.805992
3204.476282,1108,172.027859
1177.887541,571,174.716181
4953.056239,1322,180.821054
2431.403136,922,185.095609
2147.09394,836,188.95462
4953.505947,1316,198.434895
4570.40992,1325,204.775649
1021.186901,592,207.582303
4964.030783,1250,213.544968
4416.658551,1211,219.231249
1481.015116,679,222.389204
4009.039627,1169,227.814575
4964.884906,1259,233.688823
4956.784788,1292,239.677599
3313.511755,1187,248.381324
2426.530153,852,252.369516
4965.528537,1248,258.21622
4948.936174,1343,264.455938
1020.529621,555,267.064858
4958.272549,1293,273.051733
4960.038463,1282,278.97607
3864.066203,1073,283.997633
2610.048521,948,288.395535
4953.078843,1323,297.830091
1354.898538,655,300.869195
4938.884049,1415,307.40378
4963.486255,1275,313.256258
1178.87005,594,315.99993
1513.53239,671,319.111483
4964.331752,1242,324.917228
2587.623565,885,328.995793
4972.8868,1197,334.557587
4966.139233,1238,340.270434
4959.90026,1302,349.645283
4954.543552,1330,355.789132
2800.418088,947,360.163265
1202.389457,640,363.091634
4963.434476,1245,368.8027
4947.089024,1354,375.021589
4964.856184,1260,380.795055
4971.770876,1214,386.364011
4957.890647,1293,392.309546
4960.040432,1304,401.59096
1616.749081,762,405.163475
3543.839238,989,409.740633
3849.206744,1194,415.20251
1494.061352,702,418.441547
4965.916614,1241,424.13661
4969.577475,1240,429.809497
1594.228285,681,432.941363
4965.402976,1261,438.705318
3366.565877,998,446.528936
4964.802337,1248,452.255925
4965.866564,1242,457.947739
2599.755081,1122,463.067407
1616.283127,734,466.434181
4962.725499,1265,472.23578
2909.29902,953,476.610056
4958.114256,1281,482.487183
4970.611045,1227,488.068863
2111.008305,780,497.136372
4966.872992,1258,502.988682
4970.468645,1202,508.587875
4975.690846,1163,514.003411
1860.309941,725,517.348462
4967.748175,1231,523.040726
3561.627186,1076,527.978826
2133.790302,828,531.953903
4953.115523,1330,538.298099
4964.370127,1245,547.701773
4962.731734,1265,553.824033
4967.763051,1231,559.643918
1845.87621,719,563.055158
4968.414791,1240,568.918034
4961.574835,1278,574.875984
2809.194209,1007,579.5854
4968.943206,1219,585.291028
4504.953736,1272,591.356073
1605.826588,730,598.15684
2747.08409,912,602.463929
4962.296783,1285,608.467315
4976.186006,1175,613.995549
4937.485086,1445,620.687063
1425.951074,653,623.728429
4978.823182,1172,629.200337
4960.578731,1298,635.315462
3313.115309,1056,640.190846
3661.215068,1221,649.08431
3705.856267,1204,654.670306
1584.67605,732,658.044553
4980.077575,1172,663.472011
4966.841014,1223,669.145336
4968.129392,1250,674.921298
4952.690132,1339,681.095179
2314.889531,989,685.650101
4981.104519,1146,690.942182
2195.122009,822,697.979833
4962.346175,1276,703.840512
4955.190487,1299,709.811909
3136.740332,1146,715.125177
1675.710774,775,718.725136
4975.648687,1191,724.261095
2614.349986,822,728.038315
4961.68161,1267,733.87098
4960.529007,1300,739.862793
2411.904149,923,747.500279
4967.049731,1232,753.252309
4977.467642,1191,758.776127
4428.750656,1124,764.003422
4974.597648,1191,769.531956
4349.225891,1241,775.335116
3035.970391,920,779.588405
4975.698597,1201,785.271681
4972.181688,1207,790.965637
1052.340544,546,793.489808
4965.70674,1246,802.543356
4972.485258,1207,808.126656
4577.624871,1234,813.849339
2955.03272,1094,818.915548
4954.24851,1318,825.017306
4967.323271,1236,830.726658
3961.948074,1191,836.251291
4963.803165,1258,842.069039
4974.212939,1196,850.786982
1539.00339,627,853.712504
2248.291731,790,857.391988
3170.759541,1031,862.222005
2123.555855,767,865.80994
3969.218261,1045,870.698726
4976.858133,1166,876.326347
4523.128552,1252,882.254182
4978.308477,1184,887.811416
4970.928655,1196,896.818385
4973.644391,1214,902.607848
4284.893039,1121,907.868264
4688.34404,1302,913.952119
1056.760774,545,916.487475
4968.554485,1218,922.167474
4392.023201,1091,927.244316
4979.496451,1164,932.695391
4971.790296,1199,938.325455
3371.114054,1051,943.181121
1703.545041,745,949.969621
2248.591609,824,953.816659
4969.405064,1206,959.484668
4680.697462,1270,965.377103
4978.831356,1177,970.824912
4974.527415,1191,976.318635
4978.682557,1182,981.808115
3207.217835,873,985.864101
4984.371171,1124,991.095499
4981.853638,1150,1001.689992
4980.159726,1159,1007.051346
4974.322417,1201,1012.587316
3431.35946,1015,1017.282569
4981.403345,1140,1022.541774
2505.778562,861,1026.503543
4971.377164,1221,1032.128048
4972.177037,1192,1037.582568
4978.412725,1168,1042.940977
4982.945818,1142,1051.450554
4975.056811,1188,1056.954436
3461.522457,979,1061.461677
2058.174287,725,1064.80565
3692.908789,955,1069.218578
4339.465533,1127,1074.434583
2968.190826,957,1078.858815
4966.964038,1229,1084.52994
4971.937418,1192,1090.035522
4968.902878,1213,1098.885306
4974.882907,1182,1104.328931
3304.564781,980,1108.817649
4978.964742,1142,1114.08986
4974.754231,1175,1119.510532
2708.708093,836,1123.351539
1283.881882,570,1125.97669
2522.242823,863,1129.985099
4305.904209,1095,1135.020745
4965.917751,1232,1140.682826
4969.514698,1222,1149.530197
4973.13572,1215,1155.112255
2314.216832,742,1158.517432
4976.436707,1158,1163.846776
4978.072224,1159,1169.168327
1922.486405,762,1172.673975
4254.313617,1201,1178.217903
4980.243499,1162,1183.582922
